record_id,asset_id,asset_type,technician_id,date,maintenance_note,true_severity,llm_fault_type,llm_severity,llm_component,llm_action_required,llm_urgency_days,llm_confidence,llm_reasoning
REC_0016,ASSET_6623,Traction Motor,Tech_013,2023-03-28,"Intermittent squealing noise from traction motor. Lubrication applied; monitoring required.",Medium,noise,Medium,traction motor,True,21,0.83,"Intermittent noise with monitoring requirement; medium severity."
REC_0017,ASSET_2290,Pantograph,Tech_008,2023-06-22,"Impact damage noted on coupler assembly. Possible ballast strike. Minor gouging, 2.1mm depth.",Medium,corrosion,Medium,coupler assembly,True,30,0.75,"Ballast strike impact; minor but should be re-inspected to check for hidden cracking."
REC_0018,ASSET_4478,Suspension Spring,Tech_016,2023-08-14,"Brake disc scoring observed on brake system. Score depth 1.4mm. Monitoring.",Medium,brake,Medium,brake disc,True,21,0.87,"Disc scoring present; below replacement threshold but monitoring required."
REC_0019,ASSET_7790,Wheelset,Tech_029,2023-10-27,"Axle box bearing replaced preventively due to grease discolouration.",Medium,bearing,Medium,axle box bearing,True,0,0.90,"Preventive replacement is Medium severity — proactive action taken, no imminent failure."
REC_0020,ASSET_9934,Door Mechanism,Tech_007,2023-12-18,"Spring deflection marginally above mean: 14.2mm. Within acceptable range. Note for trend analysis.",Low,none,Low,suspension spring,False,90,0.79,"Within acceptable range; trend tracking recommended but low urgency."
REC_0021,ASSET_1123,Bogie Frame,Tech_018,2023-02-14,"Significant flange wear detected. Asset flagged for early wheelset replacement.",High,wear,High,wheelset flange,True,7,0.92,"Significant flange wear requires early replacement — High severity."
REC_0022,ASSET_4456,Wheelset,Tech_025,2023-05-31,"Rhythmic clunking at low speed. Wheel flat detected: 1.9mm depth.",Medium,vibration,Medium,wheel,True,7,0.88,"Small flat but rhythmic clunking; medium severity with action within 7 days."
REC_0023,ASSET_8834,Axle Box,Tech_004,2023-09-12,"High-frequency noise traced to coupler assembly. Fastener torque checked and found loose at 45.6Nm.",Medium,noise,Medium,coupler assembly,True,3,0.91,"Loose fastener is a safety concern; re-torqued but very short follow-up needed."
REC_0024,ASSET_3367,Brake System,Tech_021,2023-11-28,"Visual check passed. Surface condition satisfactory.",Low,none,Low,brake system,False,,0.96,"Visual inspection only; no defects."
REC_0025,ASSET_6690,Traction Motor,Tech_010,2023-04-07,"Scheduled lubrication performed on suspension spring. Grease level restored.",Low,none,Low,suspension spring,False,,0.94,"Scheduled routine lubrication only."
REC_0026,ASSET_2278,HVAC Unit,Tech_026,2023-07-19,"Minor corrosion on pantograph surface. Treated and coated. Monitor at next cycle.",Medium,corrosion,Medium,pantograph,False,30,0.81,"Treated corrosion — Medium due to monitoring requirement."
REC_0027,ASSET_5545,Coupler Assembly,Tech_015,2023-10-01,"Tread hollowing measured: 71.5mm. Reprofiling scheduled.",Medium,wear,High,wheelset tread,True,14,0.83,"Severe tread hollowing; though scheduled, the depth is significant enough for High concern."
REC_0028,ASSET_9912,Wheelset,Tech_023,2023-12-09,"Routine inspection completed. No anomalies detected. All measurements within spec.",Low,none,Low,wheelset,False,,0.97,"Completely routine; no issues."
REC_0029,ASSET_1189,Pantograph,Tech_001,2023-03-02,"Bearing temperature elevated: 91.7°C during run. Checked lubrication – regreased.",High,bearing,High,axle box bearing,True,1,0.93,"91.7°C is dangerously high for a bearing — High severity, re-grease and 1-day follow-up."
REC_0030,ASSET_7756,Bogie Frame,Tech_028,2023-06-17,"All measurements nominal. Component life estimated 41.0% remaining.",Low,none,Low,bogie frame,False,,0.95,"Nominal; 41% life still acceptable."
