record_id,asset_id,asset_type,technician_id,date,maintenance_note,true_severity
REC_0024,ASSET_1319,Traction Motor,Tech_029,2023-04-25,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0025,ASSET_2290,Coupler Assembly,Tech_027,2023-03-29,High-frequency noise traced to brake system. Fastener torque checked and found loose at 6.0Nm.,Low
REC_0026,ASSET_3103,Coupler Assembly,Tech_018,2024-11-06,Visual check passed. Surface condition satisfactory.,Low
REC_0027,ASSET_7932,Door Mechanism,Tech_025,2023-08-05,Uneven tread wear observed. Suspect hunting oscillation or misalignment.,Medium
REC_0028,ASSET_7537,Traction Motor,Tech_015,2024-11-18,All measurements nominal. Component life estimated 67.9% remaining.,Low
REC_0029,ASSET_4681,Traction Motor,Tech_001,2023-03-07,Brake disc scoring observed on coupler assembly. Score depth 11.9mm. Monitoring.,Low
REC_0030,ASSET_4608,Wheelset,Tech_023,2023-01-08,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0031,ASSET_1514,Wheelset,Tech_017,2023-12-05,Minor corrosion on bogie frame surface. Treated and coated. Monitor at next cycle.,Medium
REC_0032,ASSET_4510,Axle Box,Tech_024,2024-07-06,Driver reported excessive vibration above 80km/h. Investigated pantograph – bearing clearance within limits but noted micro-pitting.,Medium
REC_0033,ASSET_8749,Brake System,Tech_004,2024-02-21,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0034,ASSET_7735,Bogie Frame,Tech_022,2024-04-23,"Noticed unusual wear pattern on hvac unit. Flange thickness measured at 34.0mm, approaching lower limit.",Medium
REC_0035,ASSET_6559,Brake System,Tech_007,2023-04-22,Minor corrosion on wheelset surface. Treated and coated. Monitor at next cycle.,Medium
REC_0036,ASSET_7912,Pantograph,Tech_015,2023-07-07,Tread hollowing measured: 42.9mm. Reprofiling scheduled.,Low
REC_0037,ASSET_2604,Door Mechanism,Tech_027,2023-02-21,Driver reported excessive vibration above 80km/h. Investigated wheelset – bearing clearance within limits but noted micro-pitting.,Medium
REC_0038,ASSET_4872,HVAC Unit,Tech_016,2023-06-20,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0039,ASSET_1960,HVAC Unit,Tech_001,2023-06-18,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0040,ASSET_8454,HVAC Unit,Tech_023,2023-10-20,Surface crack observed on pantograph tread. Asset removed from service pending workshop assessment.,High
REC_0041,ASSET_5861,Bogie Frame,Tech_019,2023-08-11,Bearing temperature elevated: 15.1°C during run. Checked lubrication – regreased.,Medium
REC_0042,ASSET_1936,Suspension Spring,Tech_016,2023-02-21,Bearing temperature elevated: 71.2°C during run. Checked lubrication – regreased.,Medium
REC_0043,ASSET_9320,Axle Box,Tech_003,2023-03-24,Brake disc scoring observed on door mechanism. Score depth 15.4mm. Monitoring.,Low
REC_0044,ASSET_4853,Wheelset,Tech_029,2024-02-18,TADS alarm triggered for wheelset. Temperature spike 64.3°C above ambient. Bearing replaced.,High
REC_0045,ASSET_1651,Wheelset,Tech_014,2024-09-26,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0046,ASSET_6183,Brake System,Tech_022,2023-09-25,Spring deflection marginally above mean: 53.9mm. Within acceptable range. Note for trend analysis.,Medium
REC_0047,ASSET_7484,Pantograph,Tech_015,2023-05-15,All measurements nominal. Component life estimated 23.1% remaining.,Low
REC_0048,ASSET_2638,Door Mechanism,Tech_007,2023-03-17,Rhythmic clunking at low speed. Wheel flat detected: 1.4mm depth.,High
REC_0049,ASSET_6718,Brake System,Tech_012,2023-03-12,Brake disc scoring observed on pantograph. Score depth 13.0mm. Monitoring.,Low
REC_0050,ASSET_9900,Suspension Spring,Tech_026,2023-11-06,High-frequency noise traced to axle box. Fastener torque checked and found loose at 41.9Nm.,Low
REC_0051,ASSET_5905,Wheelset,Tech_029,2024-11-10,Minor corrosion on door mechanism surface. Treated and coated. Monitor at next cycle.,Medium
REC_0052,ASSET_2753,Axle Box,Tech_009,2024-07-20,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0053,ASSET_6617,Pantograph,Tech_017,2023-07-28,High-frequency noise traced to suspension spring. Fastener torque checked and found loose at 20.4Nm.,Low
REC_0054,ASSET_1832,HVAC Unit,Tech_027,2023-04-05,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0055,ASSET_3143,Pantograph,Tech_006,2024-10-14,Intermittent squealing noise from bogie frame. Lubrication applied; monitoring required.,Low
REC_0056,ASSET_1158,Wheelset,Tech_029,2023-04-25,Brake pad thickness below threshold: 67.2mm. Replaced brake block set.,High
REC_0057,ASSET_7049,Door Mechanism,Tech_005,2024-08-19,All measurements nominal. Component life estimated 52.1% remaining.,Low
REC_0058,ASSET_6974,Traction Motor,Tech_007,2023-02-10,"Impact damage noted on axle box. Possible ballast strike. Minor gouging, 4.5mm depth.",Low
REC_0059,ASSET_6794,HVAC Unit,Tech_020,2024-07-27,Spring deflection marginally above mean: 63.5mm. Within acceptable range. Note for trend analysis.,Medium
REC_0060,ASSET_3900,Bogie Frame,Tech_006,2024-02-27,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0061,ASSET_5065,Axle Box,Tech_026,2023-10-01,Rhythmic clunking at low speed. Wheel flat detected: 76.3mm depth.,High
REC_0062,ASSET_1634,Brake System,Tech_007,2024-04-26,All measurements nominal. Component life estimated 36.7% remaining.,Low
REC_0063,ASSET_4728,Bogie Frame,Tech_022,2023-08-17,Brake pad thickness below threshold: 29.3mm. Replaced brake block set.,High
REC_0064,ASSET_2137,Traction Motor,Tech_021,2023-10-13,Tread hollowing measured: 31.5mm. Reprofiling scheduled.,Low
REC_0065,ASSET_9785,Bogie Frame,Tech_004,2023-12-06,Brake disc scoring observed on hvac unit. Score depth 64.7mm. Monitoring.,Low
REC_0066,ASSET_5349,Wheelset,Tech_020,2023-02-09,Intermittent squealing noise from axle box. Lubrication applied; monitoring required.,Low
REC_0067,ASSET_6139,Suspension Spring,Tech_017,2024-03-22,"Impact damage noted on traction motor. Possible ballast strike. Minor gouging, 69.3mm depth.",Low
REC_0068,ASSET_4114,Bogie Frame,Tech_023,2023-09-18,"Noticed unusual wear pattern on hvac unit. Flange thickness measured at 85.5mm, approaching lower limit.",Medium
REC_0069,ASSET_9821,Brake System,Tech_012,2024-11-17,"Impact damage noted on bogie frame. Possible ballast strike. Minor gouging, 49.6mm depth.",Low
REC_0070,ASSET_6409,Traction Motor,Tech_022,2024-09-30,"Impact damage noted on wheelset. Possible ballast strike. Minor gouging, 90.2mm depth.",Low
REC_0071,ASSET_7691,HVAC Unit,Tech_023,2023-12-01,"Noticed unusual wear pattern on pantograph. Flange thickness measured at 48.4mm, approaching lower limit.",Medium
REC_0072,ASSET_7888,HVAC Unit,Tech_022,2024-11-11,High-frequency noise traced to door mechanism. Fastener torque checked and found loose at 12.5Nm.,Low
REC_0073,ASSET_7653,Bogie Frame,Tech_010,2024-07-15,Uneven tread wear observed. Suspect hunting oscillation or misalignment.,Medium
REC_0074,ASSET_6279,Coupler Assembly,Tech_015,2024-04-21,High-frequency noise traced to brake system. Fastener torque checked and found loose at 41.1Nm.,Low
REC_0075,ASSET_3780,Wheelset,Tech_010,2024-11-05,Spring deflection marginally above mean: 48.8mm. Within acceptable range. Note for trend analysis.,Medium
REC_0076,ASSET_4848,Pantograph,Tech_008,2024-11-19,Brake disc scoring observed on suspension spring. Score depth 32.2mm. Monitoring.,Low
REC_0077,ASSET_5011,Suspension Spring,Tech_028,2024-05-01,Tread hollowing measured: 2.8mm. Reprofiling scheduled.,Low
REC_0078,ASSET_4185,Coupler Assembly,Tech_013,2024-01-29,Visual check passed. Surface condition satisfactory.,Low
REC_0079,ASSET_1090,HVAC Unit,Tech_008,2023-04-20,Driver reported excessive vibration above 80km/h. Investigated axle box – bearing clearance within limits but noted micro-pitting.,Medium
REC_0080,ASSET_5082,Coupler Assembly,Tech_005,2023-05-05,Uneven tread wear observed. Suspect hunting oscillation or misalignment.,Medium
REC_0081,ASSET_6198,Suspension Spring,Tech_027,2024-03-29,Brake pad thickness below threshold: 93.9mm. Replaced brake block set.,High
REC_0082,ASSET_9976,Axle Box,Tech_024,2024-04-01,Brake disc scoring observed on hvac unit. Score depth 79.0mm. Monitoring.,Low
REC_0083,ASSET_5050,Pantograph,Tech_025,2024-10-14,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0084,ASSET_5499,Wheelset,Tech_023,2024-03-26,Brake disc scoring observed on coupler assembly. Score depth 59.7mm. Monitoring.,Low
REC_0085,ASSET_6238,Wheelset,Tech_005,2024-07-07,High-frequency noise traced to brake system. Fastener torque checked and found loose at 26.2Nm.,Low
REC_0086,ASSET_3503,Wheelset,Tech_014,2023-08-08,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0087,ASSET_7812,Brake System,Tech_027,2023-03-05,"Impact damage noted on traction motor. Possible ballast strike. Minor gouging, 51.8mm depth.",Low
REC_0088,ASSET_1320,HVAC Unit,Tech_016,2024-08-12,"Impact damage noted on hvac unit. Possible ballast strike. Minor gouging, 86.0mm depth.",Low
REC_0089,ASSET_7389,Door Mechanism,Tech_024,2024-03-05,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0090,ASSET_8999,Pantograph,Tech_014,2023-08-13,Bearing temperature elevated: 85.3°C during run. Checked lubrication – regreased.,Medium
REC_0091,ASSET_7624,Coupler Assembly,Tech_030,2023-06-19,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0092,ASSET_7455,Suspension Spring,Tech_022,2024-08-29,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0093,ASSET_3223,Axle Box,Tech_002,2024-04-17,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0094,ASSET_8449,Traction Motor,Tech_025,2023-12-01,Intermittent squealing noise from hvac unit. Lubrication applied; monitoring required.,Low
REC_0095,ASSET_7906,Wheelset,Tech_016,2023-09-16,Surface crack observed on pantograph tread. Asset removed from service pending workshop assessment.,High
REC_0096,ASSET_6733,Wheelset,Tech_025,2023-08-18,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0097,ASSET_5051,Bogie Frame,Tech_020,2023-07-24,Minor corrosion on bogie frame surface. Treated and coated. Monitor at next cycle.,Medium
REC_0098,ASSET_2874,Brake System,Tech_015,2024-07-31,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0099,ASSET_3749,Suspension Spring,Tech_024,2024-09-12,All measurements nominal. Component life estimated 73.0% remaining.,Low
REC_0100,ASSET_3683,Wheelset,Tech_019,2023-11-15,All measurements nominal. Component life estimated 74.0% remaining.,Low
REC_0101,ASSET_7149,Brake System,Tech_003,2024-02-11,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0102,ASSET_5941,Suspension Spring,Tech_026,2024-12-01,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0103,ASSET_6688,HVAC Unit,Tech_022,2024-06-29,"Noticed unusual wear pattern on suspension spring. Flange thickness measured at 74.5mm, approaching lower limit.",Medium
REC_0104,ASSET_6590,HVAC Unit,Tech_027,2023-01-13,Crack indication found on wheelset during magnetic particle inspection. Length approx 48.3mm. Sent for NDT.,High
REC_0105,ASSET_6934,Coupler Assembly,Tech_023,2024-10-12,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0106,ASSET_9548,Pantograph,Tech_020,2024-10-28,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0107,ASSET_5397,Brake System,Tech_027,2023-11-27,Bearing temperature elevated: 44.4°C during run. Checked lubrication – regreased.,Medium
REC_0108,ASSET_4995,Suspension Spring,Tech_020,2024-04-20,Visual check passed. Surface condition satisfactory.,Low
REC_0109,ASSET_9098,Axle Box,Tech_016,2023-11-29,Spring deflection marginally above mean: 32.3mm. Within acceptable range. Note for trend analysis.,Medium
REC_0110,ASSET_6576,Suspension Spring,Tech_023,2023-10-14,Tread hollowing measured: 75.9mm. Reprofiling scheduled.,Low
REC_0111,ASSET_4130,Brake System,Tech_024,2023-03-29,Intermittent squealing noise from door mechanism. Lubrication applied; monitoring required.,Low
REC_0112,ASSET_4937,Coupler Assembly,Tech_015,2024-05-02,"Impact damage noted on coupler assembly. Possible ballast strike. Minor gouging, 53.0mm depth.",Low
REC_0113,ASSET_7625,Pantograph,Tech_022,2023-09-07,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0114,ASSET_9698,HVAC Unit,Tech_024,2023-12-19,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0115,ASSET_8434,Pantograph,Tech_009,2023-10-05,Bearing temperature elevated: 33.7°C during run. Checked lubrication – regreased.,Medium
REC_0116,ASSET_6169,Door Mechanism,Tech_025,2023-05-03,Driver reported excessive vibration above 80km/h. Investigated wheelset – bearing clearance within limits but noted micro-pitting.,Medium
REC_0117,ASSET_8933,Suspension Spring,Tech_025,2023-10-11,All measurements nominal. Component life estimated 18.6% remaining.,Low
REC_0118,ASSET_2647,Pantograph,Tech_008,2023-07-18,Brake disc scoring observed on suspension spring. Score depth 27.2mm. Monitoring.,Low
REC_0119,ASSET_9751,Pantograph,Tech_002,2023-05-10,Crack indication found on axle box during magnetic particle inspection. Length approx 29.1mm. Sent for NDT.,High
REC_0120,ASSET_3068,Coupler Assembly,Tech_004,2024-10-15,Scheduled lubrication performed on door mechanism. Grease level restored.,Low
REC_0121,ASSET_8843,Traction Motor,Tech_006,2024-03-27,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0122,ASSET_8827,Wheelset,Tech_013,2023-04-27,Scheduled lubrication performed on pantograph. Grease level restored.,Low
REC_0123,ASSET_1878,Axle Box,Tech_026,2023-06-05,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0124,ASSET_5066,Door Mechanism,Tech_025,2023-05-02,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0125,ASSET_4697,HVAC Unit,Tech_015,2024-06-19,"Impact damage noted on suspension spring. Possible ballast strike. Minor gouging, 56.8mm depth.",Low
REC_0126,ASSET_8025,Suspension Spring,Tech_020,2023-11-09,Brake pad thickness below threshold: 81.8mm. Replaced brake block set.,High
REC_0127,ASSET_2625,Brake System,Tech_009,2023-08-01,Scheduled lubrication performed on suspension spring. Grease level restored.,Low
REC_0128,ASSET_3847,Wheelset,Tech_006,2024-07-19,Spring deflection marginally above mean: 15.3mm. Within acceptable range. Note for trend analysis.,Medium
REC_0129,ASSET_8699,Bogie Frame,Tech_008,2023-10-26,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0130,ASSET_8438,Brake System,Tech_030,2023-03-14,High-frequency noise traced to pantograph. Fastener torque checked and found loose at 66.9Nm.,Low
REC_0131,ASSET_4241,Wheelset,Tech_018,2024-03-11,Intermittent squealing noise from suspension spring. Lubrication applied; monitoring required.,Low
REC_0132,ASSET_3330,Bogie Frame,Tech_006,2023-03-15,Driver reported excessive vibration above 80km/h. Investigated axle box – bearing clearance within limits but noted micro-pitting.,Medium
REC_0133,ASSET_5728,Wheelset,Tech_015,2024-03-25,High-frequency noise traced to suspension spring. Fastener torque checked and found loose at 71.3Nm.,Low
REC_0134,ASSET_5460,Door Mechanism,Tech_016,2024-05-27,All measurements nominal. Component life estimated 66.6% remaining.,Low
REC_0135,ASSET_8078,Suspension Spring,Tech_009,2023-11-27,Brake pad thickness below threshold: 57.0mm. Replaced brake block set.,High
REC_0136,ASSET_1339,Pantograph,Tech_019,2024-11-19,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0137,ASSET_8245,Axle Box,Tech_019,2023-10-12,Scheduled lubrication performed on axle box. Grease level restored.,Low
REC_0138,ASSET_8700,HVAC Unit,Tech_011,2023-12-23,"Impact damage noted on coupler assembly. Possible ballast strike. Minor gouging, 92.1mm depth.",Low
REC_0139,ASSET_6403,Coupler Assembly,Tech_010,2024-02-26,Rhythmic clunking at low speed. Wheel flat detected: 81.6mm depth.,High
REC_0140,ASSET_1601,Wheelset,Tech_011,2024-04-10,Spring deflection marginally above mean: 77.4mm. Within acceptable range. Note for trend analysis.,Medium
REC_0141,ASSET_7622,Bogie Frame,Tech_022,2024-06-10,Intermittent squealing noise from traction motor. Lubrication applied; monitoring required.,Low
REC_0142,ASSET_4073,Traction Motor,Tech_020,2024-06-14,Bearing temperature elevated: 39.6°C during run. Checked lubrication – regreased.,Medium
REC_0143,ASSET_4335,Door Mechanism,Tech_005,2023-10-01,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0144,ASSET_8941,Bogie Frame,Tech_021,2023-05-05,High-frequency noise traced to coupler assembly. Fastener torque checked and found loose at 83.7Nm.,Low
REC_0145,ASSET_6091,Bogie Frame,Tech_018,2024-07-18,TADS alarm triggered for brake system. Temperature spike 67.6°C above ambient. Bearing replaced.,High
REC_0146,ASSET_2858,Wheelset,Tech_021,2024-04-17,"Impact damage noted on wheelset. Possible ballast strike. Minor gouging, 21.7mm depth.",Low
REC_0147,ASSET_5781,Pantograph,Tech_014,2024-06-05,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0148,ASSET_3369,Brake System,Tech_030,2024-01-28,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0149,ASSET_3236,Pantograph,Tech_025,2023-03-13,TADS alarm triggered for door mechanism. Temperature spike 71.0°C above ambient. Bearing replaced.,High
REC_0150,ASSET_9318,Bogie Frame,Tech_010,2023-10-01,"Impact damage noted on traction motor. Possible ballast strike. Minor gouging, 88.8mm depth.",Low
REC_0151,ASSET_9022,Coupler Assembly,Tech_018,2023-06-02,High-frequency noise traced to suspension spring. Fastener torque checked and found loose at 55.3Nm.,Low
REC_0152,ASSET_9903,Coupler Assembly,Tech_030,2024-01-22,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0153,ASSET_4912,HVAC Unit,Tech_008,2024-08-08,Rhythmic clunking at low speed. Wheel flat detected: 93.2mm depth.,High
REC_0154,ASSET_8749,HVAC Unit,Tech_022,2024-01-26,"Impact damage noted on bogie frame. Possible ballast strike. Minor gouging, 30.6mm depth.",Low
REC_0155,ASSET_1606,Door Mechanism,Tech_019,2023-05-10,Minor corrosion on axle box surface. Treated and coated. Monitor at next cycle.,Medium
REC_0156,ASSET_8213,Door Mechanism,Tech_030,2023-04-13,Rhythmic clunking at low speed. Wheel flat detected: 83.1mm depth.,High
REC_0157,ASSET_7717,Axle Box,Tech_003,2024-11-01,Brake pad thickness below threshold: 68.8mm. Replaced brake block set.,High
REC_0158,ASSET_7512,Wheelset,Tech_028,2024-10-27,Uneven brake application reported. Slack adjuster inspected and reset.,Medium
REC_0159,ASSET_6188,Coupler Assembly,Tech_028,2024-10-03,Rhythmic clunking at low speed. Wheel flat detected: 36.4mm depth.,High
REC_0160,ASSET_4846,Pantograph,Tech_008,2024-10-08,Bearing temperature elevated: 58.8°C during run. Checked lubrication – regreased.,Medium
REC_0161,ASSET_2646,Axle Box,Tech_023,2024-03-30,Visual check passed. Surface condition satisfactory.,Low
REC_0162,ASSET_1919,Traction Motor,Tech_012,2023-10-28,High-frequency noise traced to bogie frame. Fastener torque checked and found loose at 4.8Nm.,Low
REC_0163,ASSET_7751,Axle Box,Tech_006,2024-08-02,"Impact damage noted on axle box. Possible ballast strike. Minor gouging, 23.6mm depth.",Low
REC_0164,ASSET_7267,Brake System,Tech_016,2024-09-26,Uneven tread wear observed. Suspect hunting oscillation or misalignment.,Medium
REC_0165,ASSET_5161,Pantograph,Tech_022,2024-04-15,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0166,ASSET_9955,Wheelset,Tech_015,2023-06-11,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0167,ASSET_7951,Coupler Assembly,Tech_028,2023-09-14,Crack indication found on suspension spring during magnetic particle inspection. Length approx 28.8mm. Sent for NDT.,High
REC_0168,ASSET_8916,Brake System,Tech_013,2023-04-20,High-frequency noise traced to brake system. Fastener torque checked and found loose at 94.9Nm.,Low
REC_0169,ASSET_5837,HVAC Unit,Tech_009,2023-01-23,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0170,ASSET_1803,Coupler Assembly,Tech_027,2024-09-12,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0171,ASSET_6772,Brake System,Tech_020,2023-08-13,High-frequency noise traced to brake system. Fastener torque checked and found loose at 57.9Nm.,Low
REC_0172,ASSET_1645,Coupler Assembly,Tech_002,2023-11-13,Intermittent squealing noise from axle box. Lubrication applied; monitoring required.,Low
REC_0173,ASSET_2476,Traction Motor,Tech_024,2023-10-30,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0174,ASSET_9837,Door Mechanism,Tech_017,2024-01-10,"Impact damage noted on axle box. Possible ballast strike. Minor gouging, 19.5mm depth.",Low
REC_0175,ASSET_8894,Traction Motor,Tech_026,2023-10-30,Intermittent squealing noise from axle box. Lubrication applied; monitoring required.,Low
REC_0176,ASSET_3306,HVAC Unit,Tech_028,2023-08-20,"Noticed unusual wear pattern on coupler assembly. Flange thickness measured at 91.5mm, approaching lower limit.",Medium
REC_0177,ASSET_7464,Pantograph,Tech_018,2023-01-15,Bearing temperature elevated: 9.0°C during run. Checked lubrication – regreased.,Medium
REC_0178,ASSET_5295,HVAC Unit,Tech_027,2024-08-21,"Noticed unusual wear pattern on coupler assembly. Flange thickness measured at 35.3mm, approaching lower limit.",Medium
REC_0179,ASSET_4830,Bogie Frame,Tech_020,2024-04-27,Minor corrosion on traction motor surface. Treated and coated. Monitor at next cycle.,Medium
REC_0180,ASSET_4626,Wheelset,Tech_021,2024-10-25,Bearing temperature elevated: 87.0°C during run. Checked lubrication – regreased.,Medium
REC_0181,ASSET_2911,Bogie Frame,Tech_002,2023-05-24,Brake pad thickness below threshold: 61.9mm. Replaced brake block set.,High
REC_0182,ASSET_4846,Axle Box,Tech_013,2024-07-04,High-frequency noise traced to coupler assembly. Fastener torque checked and found loose at 11.5Nm.,Low
REC_0183,ASSET_9850,Suspension Spring,Tech_024,2024-03-05,Brake pad thickness below threshold: 63.9mm. Replaced brake block set.,High
REC_0184,ASSET_9017,HVAC Unit,Tech_009,2024-09-22,Significant flange wear detected. Asset flagged for early wheelset replacement.,Medium
REC_0185,ASSET_8285,Traction Motor,Tech_004,2023-08-30,Scheduled lubrication performed on traction motor. Grease level restored.,Low
REC_0186,ASSET_6876,HVAC Unit,Tech_009,2023-03-04,Spring deflection marginally above mean: 52.0mm. Within acceptable range. Note for trend analysis.,Medium
REC_0187,ASSET_8450,Brake System,Tech_021,2023-04-04,Tread hollowing measured: 90.2mm. Reprofiling scheduled.,Low
REC_0188,ASSET_1828,Brake System,Tech_005,2023-12-08,Minor corrosion on suspension spring surface. Treated and coated. Monitor at next cycle.,Medium
REC_0189,ASSET_4394,Brake System,Tech_027,2024-08-23,Axle box bearing replaced preventively due to grease discolouration.,High
REC_0190,ASSET_1046,Axle Box,Tech_005,2023-10-11,Driver reported excessive vibration above 80km/h. Investigated traction motor – bearing clearance within limits but noted micro-pitting.,Medium
REC_0191,ASSET_2801,Bogie Frame,Tech_005,2024-11-07,Bearing temperature elevated: 76.0°C during run. Checked lubrication – regreased.,Medium
REC_0192,ASSET_4898,Traction Motor,Tech_001,2024-08-25,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0193,ASSET_7897,Wheelset,Tech_024,2024-06-22,Uneven tread wear observed. Suspect hunting oscillation or misalignment.,Medium
REC_0194,ASSET_6931,Suspension Spring,Tech_004,2024-06-09,Visual check passed. Surface condition satisfactory.,Low
REC_0195,ASSET_1710,Door Mechanism,Tech_010,2024-11-05,Brake pad thickness below threshold: 21.4mm. Replaced brake block set.,High
REC_0196,ASSET_8847,HVAC Unit,Tech_022,2024-02-16,Brake pad thickness below threshold: 6.2mm. Replaced brake block set.,High
REC_0197,ASSET_8267,Wheelset,Tech_011,2023-03-17,"Noticed unusual wear pattern on coupler assembly. Flange thickness measured at 67.8mm, approaching lower limit.",Medium
REC_0198,ASSET_5505,Suspension Spring,Tech_018,2024-10-01,TADS alarm triggered for axle box. Temperature spike 6.7°C above ambient. Bearing replaced.,High
REC_0199,ASSET_9692,Coupler Assembly,Tech_017,2023-10-29,All measurements nominal. Component life estimated 36.5% remaining.,Low
REC_0200,ASSET_2874,Door Mechanism,Tech_024,2024-11-01,TADS alarm triggered for hvac unit. Temperature spike 9.9°C above ambient. Bearing replaced.,High
